Symbol,Name,Sector,Price,Dividend Yield,Price/Earnings,Earnings/Share,Book Value,52 week low,52 week high,Market Cap,EBITDA,Price/Sales,Price/Book,SEC Filings
PEG,Public Serv. Enterprise Inc.,Utilities,43.52,3.71,17.13,2.54,26.68,39.28,47.41,22.02,3.53,2.37,1.63,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=PEG
PSA,Public Storage,Real Estate,215.02,3.72,32.93,6.53,29.12,200.65,277.60,37.29,1.84,14.29,7.32,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=PSA
PHM,Pulte Homes Inc.,Consumer Discretionary,21.26,1.67,12.15,1.75,14.29,15.21,22.40,6.93,0.98786,0.90,1.48,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=PHM
PVH,PVH Corp.,Consumer Discretionary,89.40,0.16,12.51,7.15,60.33,68.96,115.40,7.09,1.07,0.87,1.49,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=PVH
QRVO,Qorvo,Information Technology,63.35,,,-0.22,39.19,33.30,65.97,8.09,0.75521,2.95,1.65,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=QRVO
QCOM,QUALCOMM Inc.,Information Technology,52.66,3.97,16.06,3.28,21.12,42.24,71.62,77.78,8.55,3.30,2.52,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=QCOM
PWR,Quanta Services Inc.,Industrials,35.53,,53.43,0.67,21.66,16.77,38.08,5.37,0.47587999999999997,0.72,1.65,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=PWR
DGX,Quest Diagnostics,Health Care,92.48,1.96,20.51,4.51,33.78,59.66,95.14,12.67,1.49,1.69,2.74,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=DGX
RRC,Range Resources Corp.,Energy,32.78,0.25,,-4.00,22.40,21.69,46.96,7.99,0.17815999999999999,6.79,1.42,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=RRC
RTN,Raytheon Co.,Industrials,145.59,2.03,19.56,7.44,34.22,119.38,152.58,42.83,3.76,1.77,4.23,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=RTN
O,Realty Income Corporation,Real Estate,59.42,4.24,53.82,1.10,24.59,52.72,72.30,15.37,0.97807,13.97,2.37,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=O
RHT,Red Hat Inc.,Information Technology,77.71,,59.32,1.31,7.12,59.59,82.73,13.85,0.39837,5.83,10.69,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=RHT
REGN,Regeneron,Health Care,360.56,,52.58,6.86,42.84,325.35,452.96,37.80,1.31,8.07,8.50,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=REGN
RF,Regions Financial Corp.,Financials,14.25,1.80,16.30,0.87,13.04,7.00,14.93,17.31,0.00,3.29,1.11,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=RF
RSG,Republic Services Inc,Industrials,57.35,2.23,33.34,1.72,22.42,42.56,58.08,19.50,2.61,2.08,2.54,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=RSG
RAI,Reynolds American Inc.,Consumer Staples,59.92,3.06,15.57,3.85,15.11,43.38,60.47,85.43,5.61,6.91,3.97,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=RAI
RHI,Robert Half International,Industrials,47.65,1.87,17.85,2.67,8.58,34.34,50.98,6.03,0.61682,1.14,5.50,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=RHI
ROK,Rockwell Automation Inc.,Industrials,147.65,2.05,25.42,5.81,15.80,91.65,155.44,19.15,1.19,3.22,9.35,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ROK
COL,Rockwell Collins,Industrials,90.52,1.45,16.18,5.59,16.74,76.03,96.55,11.94,1.23,2.25,5.39,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=COL
ROP,Roper Industries,Industrials,191.76,0.73,28.63,6.70,56.32,157.18,192.75,19.45,1.28,5.21,3.40,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ROP
ROST,Ross Stores,Consumer Discretionary,65.64,0.82,24.13,2.72,6.72,52.00,69.81,25.87,2.04,2.06,9.80,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ROST
RCL,Royal Caribbean Cruises Ltd,Consumer Discretionary,94.03,2.05,15.86,5.93,42.51,64.21,96.09,20.18,2.38,2.38,2.22,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=RCL
R,Ryder System,Industrials,71.81,2.27,13.22,5.43,39.22,51.11,85.42,3.84,1.81,0.62,1.98,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=R
SPGI,"S&P Global, Inc.",Financials,120.42,1.36,17.76,6.78,1.78,81.95,128.40,31.20,2.43,5.50,67.06,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=SPGI
CRM,Salesforce.com,Information Technology,80.13,,271.63,0.29,9.77,52.60,84.48,55.83,0.53422,6.92,8.04,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CRM
SCG,SCANA Corp,Utilities,69.17,3.35,17.38,3.98,39.71,62.85,76.41,9.89,1.54,2.36,1.72,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=SCG
SLB,Schlumberger Ltd.,Energy,82.44,2.38,,-1.24,29.52,66.10,87.84,114.71,6.38,4.16,2.82,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=SLB
SNI,Scripps Networks Interactive Inc.,Consumer Discretionary,75.72,1.31,12.51,6.05,15.70,52.00,77.80,9.78,1.48,2.91,4.83,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=SNI
STX,Seagate Technology,Information Technology,45.27,5.58,26.41,1.71,5.16,18.42,46.68,13.36,1.71,1.21,8.68,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=STX
SEE,Sealed Air,Materials,49.78,1.32,22.50,2.21,2.86,38.62,52.83,9.62,1.08,1.39,17.10,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=SEE
SRE,Sempra Energy,Utilities,102.72,2.95,19.06,5.39,49.31,92.95,114.66,25.72,2.83,2.54,2.06,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=SRE
